Wall time,Step,Value
1481346016.411212,22452,0.46824607253074646
1481346031.996492,25239,0.44020751118659973
1481346192.888187,57144,0.497991681098938
1481346207.988181,60187,0.4790402948856354
1481346323.429354,83061,0.5402626991271973
1481346328.431708,84056,0.5198433995246887
1481346363.589952,90972,0.5461997985839844
1481346625.107797,139494,0.7036154866218567
1481346766.120333,167097,0.5947622060775757
1481346786.186081,171006,0.6695271134376526
1481346992.047043,211548,0.7306627631187439
1481347102.873908,233135,0.5886989831924438
1481347238.751179,259979,0.6749804019927979
1481347626.736376,332772,0.8381253480911255
1481347751.971277,357351,0.7515831589698792
1481347933.314352,392875,1.0340286493301392
1481348199.681748,444243,0.9571847915649414
1481348491.346691,500910,0.7812271118164062
1481348678.424547,537030,0.8760324120521545
1481348687.404581,537892,0.9079723358154297
1481348742.678322,544073,0.9435521960258484
1481348868.450268,567412,1.0507092475891113
1481349069.692294,606339,0.8608149290084839
1481349230.554302,637359,0.9667908549308777
1481349246.090907,640242,0.8080832362174988
1481349271.122802,645170,0.9991439580917358
1481349431.915813,676103,0.8603411316871643
1481349643.035729,716970,1.060444951057434
1481349658.110367,719874,1.0167968273162842
1481350009.626455,784856,0.9301475286483765
1481350140.482647,809210,0.9047056436538696
1481350180.849942,816782,1.0157580375671387
1481350316.751464,842006,0.8960698843002319
1481350351.789737,848565,1.083035945892334
1481350367.014846,851409,0.9508793354034424
1481350442.559547,865552,1.0959217548370361
1481350457.232914,868450,1.0750147104263306
1481350588.386564,893285,1.1462533473968506
1481350980.619207,967868,1.2081537246704102
1481351146.614436,994417,1.2379908561706543
1481351216.539148,1007870,1.2751193046569824
1481351297.14295,1022791,1.0507771968841553
1481351392.874579,1034993,1.3262207508087158
1481351609.168499,1075873,1.0277957916259766
1481351996.170036,1147943,1.087835431098938
1481352021.290252,1150198,1.0227012634277344
1481352112.065444,1163574,1.3298531770706177
1481352182.450392,1177112,1.1703310012817383
1481352257.870184,1191428,1.0695217847824097
1481352343.56344,1207776,1.0388329029083252
1481352484.69444,1234645,1.1287921667099
1481352831.741624,1300781,1.0332504510879517
1481353038.218667,1340221,1.0993988513946533
1481353063.314403,1345023,1.0980162620544434
1481353943.030289,1507557,0.8964521884918213
1481354053.902421,1528543,0.8770498633384705
1481354069.002771,1531591,0.9749828577041626
1481354165.067812,1549865,0.9758378863334656
1481354245.527363,1565265,1.0349268913269043
1481354462.046358,1602878,0.9868259429931641
1481354562.451678,1621861,1.0497326850891113
1481354673.044033,1643113,1.0089948177337646
