Wall time,Step,Value
1481345660.537882,27371,0.0
1481345675.64364,31411,1.0
1481345836.929034,72831,2.0
1481345852.117963,76433,2.0
1481345968.085998,106446,0.0
1481345973.160916,107583,3.0
1481346008.46939,116457,0.0
1481346270.414731,183361,2.0
1481346411.287013,219088,1.0
1481346431.47288,224085,1.0
1481346637.987263,276410,1.0
1481346748.76247,304590,1.0
1481346884.722938,339277,3.0
1481347273.264597,438326,2.0
1481347399.439911,470206,0.0
1481347580.878638,516427,1.0
1481347847.702593,584363,4.0
1481348139.682175,655254,2.0
1481348326.04051,699446,2.0
1481348336.16367,701828,4.0
1481348391.859404,714947,2.0
1481348517.515665,744905,1.0
1481348719.525732,792796,2.0
1481348881.322055,831335,2.0
1481348896.41853,834927,0.0
1481348921.526843,840834,2.0
1481349083.061286,879256,2.0
1481349294.564404,929654,1.0
1481349309.597247,933404,3.0
1481349662.000846,1015219,2.0
1481349793.091778,1045375,0.0
1481349833.254819,1054512,2.0
1481349969.634454,1085823,2.0
1481350005.030852,1093921,3.0
1481350019.990886,1097341,1.0
1481350095.726864,1114801,2.0
1481350110.874041,1118701,3.0
1481350241.71267,1148447,3.0
1481350634.305805,1238756,1.0
1481350800.230818,1277046,1.0
1481350870.852298,1293202,1.0
1481350951.34342,1312086,1.0
1481351046.936015,1334061,1.0
1481351263.310266,1384174,1.0
1481351650.598141,1474932,4.0
1481351675.850709,1480974,4.0
1481351766.299784,1502601,0.0
1481351836.633586,1519356,2.0
1481351912.298043,1537351,2.0
1481351998.20725,1557885,1.0
1481352139.158947,1589940,1.0
1481352486.004542,1668645,5.0
1481352692.644006,1714856,2.0
1481352717.855086,1720494,0.0
1481353600.078701,1918141,2.0
1481353710.445195,1943096,0.0
1481353725.460524,1946377,0.0
1481353821.273624,1967606,2.0
1481353901.708351,1985637,4.0
1481354118.105279,2034271,1.0
1481354218.702262,2056898,3.0
1481354329.482252,2081689,3.0
1481354404.794947,2098657,0.0
1481354530.77152,2126858,0.0
1481354545.792131,2130233,3.0
1481354616.172293,2146534,2.0
1481354676.573037,2160843,4.0
1481354691.761811,2164512,3.0
1481354953.473384,2229363,2.0
1481355003.842316,2241823,4.0
1481355059.285638,2255416,2.0
1481355310.952825,2316006,4.0
1481355341.145249,2323212,2.0
1481355527.330267,2367109,0.0
1481355753.906084,2420486,2.0
1481356186.856864,2521804,2.0
1481357092.146686,2730993,2.0
1481357197.850898,2755724,0.0
1481357635.512978,2857616,0.0
1481357726.327549,2878683,3.0
1481357978.328675,2936874,2.0
1481358179.35253,2983543,1.0
1481358269.71166,3004621,2.0
1481358370.614743,3028014,1.0
1481358592.18738,3079413,0.0
1481358602.316709,3081643,1.0
1481358617.369813,3085241,0.0
1481358642.694782,3091051,0.0
1481358738.1226,3113246,3.0
1481358899.547708,3150524,2.0
1481359095.970571,3195902,2.0
1481359347.464507,3254663,2.0
1481359629.470036,3320525,6.0
1481359846.205708,3370935,4.0
1481359982.211116,3403025,1.0
1481360037.688895,3416050,2.0
1481360264.424481,3469294,3.0
1481360521.306745,3530041,0.0
1481360823.944204,3600534,2.0
1481360924.645651,3624191,3.0
1481361171.086113,3681184,2.0
1481361332.064411,3718237,2.0
1481361528.299054,3763512,2.0
1481362042.135803,3883070,0.0
1481362052.263504,3885590,2.0
